id,confirmation_code,duration,start_date,end_date,crackdown,issue,funding,Q1.2,Q1.3,favor_humanitarian,favor_human_rights,favor_development,donate_likely,amount_donate,amount_keep,amount_why,give_charity,volunteer,political_knowledge,ideology,education,religiosity,Q3.8,gender,gender_other,income,age,attention1_correct,attention2_correct,check1,check2,donate_likely_bin,favor_humanitarian_bin,favor_human_rights_bin,favor_development_bin,give_charity_3,give_charity_2,political_knowledge_bin,ideology_3,ideology_bin,education_bin,religiosity_bin,income_clean,income_bin,age_bin,gender_bin
R_22o7Ob8QgA5tVhM,9038764,122,2018-03-22T14:03:15Z,2018-03-22T14:05:17Z,Crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Favorable,Very favorable,Very favorable,Extremely unlikely,0,100,I need money.,Never,No,Most of the time,Strong liberal,4 year degree,Don't know,Blue,Male,,"$40,000 – $49,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Rarely,Rarely,Often,Liberal,Liberal,BA and above,,"$40,000 – $49,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_3Gy6WCjTlCsZSmu,8995923,735,2018-03-22T13:59:12Z,2018-03-22T14:11:27Z,Crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Favorable,Very favorable,Neutral,Extremely unlikely,0,100,I would keep all $100 because it would not even go to helping humanitarian efforts due to the new laws.,Never,Yes,Most of the time,Liberal,4 year degree,Never,Blue,Male,,"$30,000 – $39,999",35 – 44,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Not favorable,Rarely,Rarely,Often,Liberal,Liberal,BA and above,Rarely,"$30,000 – $39,999","Less than $50,000 – $59,999",At least 35 – 44,Not Female
R_3m9IyGXNYdPrZnP,2870372,94,2018-03-22T14:16:58Z,2018-03-22T14:18:33Z,Crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Extremely unlikely,0,100,Because I want more money for myself,Never,No,Only now and then,"Independent, leaning liberal",2 year degree,Never,Blue,Male,,"$40,000 – $49,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Rarely,Rarely,Not often,Liberal,Liberal,No BA,Rarely,"$40,000 – $49,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_3EDSjelDwatxrW5,5757235,157,2018-03-22T14:16:25Z,2018-03-22T14:19:02Z,Crackdown,Human rights,Government,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Somewhat unlikely,5,95,This sounds like an NGO that is largely funded by the government. I don't think that they rely on private donations.,Once every six months,No,Most of the time,Independent,2 year degree,Never,Blue,Male,,"$30,000 – $39,999",35 – 44,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Independent,Not liberal,No BA,Rarely,"$30,000 – $39,999","Less than $50,000 – $59,999",At least 35 – 44,Not Female
R_2dQQfiehzi8hBOn,9252747,159,2018-03-22T14:16:44Z,2018-03-22T14:19:24Z,No crackdown,Human rights,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,10,90,"I would donate $10 out of the $100 because I already donate yearly to other charities and funds so I can't help everyone. But, the $10 is enough to help, I think.",Once a year,Yes,Most of the time,Liberal,4 year degree,Never,Blue,Male,,"$60,000 – $69,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,"$60,000 – $69,999","At least $50,000 – $59,999",Less than 35 – 44,Not Female
R_aWcBWaLGOAxgGhb,8023277,144,2018-03-22T14:17:44Z,2018-03-22T14:20:09Z,No crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,50,50,I think it helps both the cause and myself,Once every six months,Yes,Some of the time,Independent,2 year degree,Once or twice a month,Blue,Female,,"$20,000 – $29,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Independent,Not liberal,No BA,At least once a month,"$20,000 – $29,999","Less than $50,000 – $59,999",Less than 35 – 44,Female
R_10YhqG1v4UXG3pE,4486450,302,2018-03-22T14:16:21Z,2018-03-22T14:21:24Z,No crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Very favorable,Very favorable,Favorable,Somewhat unlikely,0,100,"Right now I wouldn't donate anything because they seem to have a lot of money coming from government donors, so they probably don't need a lot of money from me and it makes me suspicious as to how effective it actually is.",Once every six months,Yes,Most of the time,Strong liberal,4 year degree,Seldom,Blue,Female,,Prefer not to say,25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,,,Less than 35 – 44,Female
R_yVCWM8Y1MmvnyAF,1340132,158,2018-03-22T14:19:47Z,2018-03-22T14:22:26Z,No crackdown,Human rights,Government,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat unlikely,0,100,I have other causes that I would rather spend my extra money on. It's a good cause but there are others more dear to my heart.,Once a month,No,Some of the time,Independent,2 year degree,Never,Blue,Male,,"$70,000 – $79,999",35 – 44,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Independent,Not liberal,No BA,Rarely,"$70,000 – $79,999","At least $50,000 – $59,999",At least 35 – 44,Not Female
R_2bQxwYW2fwqsdOx,1222147,422,2018-03-22T14:16:20Z,2018-03-22T14:23:23Z,No crackdown,Human rights,Government,Yes,"Green,Yellow",Favorable,Favorable,Very favorable,Neither likely nor unlikely,0,100,I'd have to know more about them to donate.,Once every three months,No,Some of the time,"Independent, leaning liberal",Some college,Never,Blue,Male,,"$60,000 – $69,999",45 – 54,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,No BA,Rarely,"$60,000 – $69,999","At least $50,000 – $59,999",At least 35 – 44,Not Female
R_SNTJHYPyL0gEoz7,8240302,221,2018-03-22T14:20:49Z,2018-03-22T14:24:31Z,No crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Somewhat likely,25,75,I would need to do more research and know how The International Rescue Committee handles donor money before I'd be willing to contribute more to the cause.,Once a year,No,Some of the time,Liberal,4 year degree,Never,Blue,Male,,"$70,000 – $79,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,"$70,000 – $79,999","At least $50,000 – $59,999",Less than 35 – 44,Not Female
R_21zypXJum3YzCM1,7610216,105,2018-03-22T14:24:19Z,2018-03-22T14:26:05Z,Crackdown,Human rights,Government,Yes,"Green,Yellow",Favorable,Very favorable,Very favorable,Somewhat likely,73,27,It is a gut feeling,Once a month,Yes,Most of the time,Strong liberal,4 year degree,Never,Blue,Male,,"More than $150,000",35 – 44,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,"More than $150,000","At least $50,000 – $59,999",At least 35 – 44,Not Female
R_2BbxAmrxgAYl1yJ,1056754,527,2018-03-22T14:21:15Z,2018-03-22T14:30:02Z,Crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Favorable,Somewhat likely,25,75,It's the realistic amount of what I would really donate if I have that money right now. This is the amount I am comfortable with. It could change if I feel more strongly about the cause in the future. For now I thought this is a good starting point.,Once a month,Yes,Some of the time,Liberal,4 year degree,Never,Blue,Male,,"$50,000 – $59,999",35 – 44,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,"$50,000 – $59,999","At least $50,000 – $59,999",At least 35 – 44,Not Female
R_1Cpw1Ay72fg7Vc3,8011815,67,2018-03-22T14:30:24Z,2018-03-22T14:31:31Z,Crackdown,Human rights,Private,Yes,"Green,Yellow",Favorable,Very favorable,Favorable,Somewhat likely,10,90,I'm pretty poor but I'd want to help a little.,Once every six months,No,Most of the time,Strong liberal,4 year degree,Never,Blue,Female,,"$10,000 – $19,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,"$10,000 – $19,999","Less than $50,000 – $59,999",Less than 35 – 44,Female
R_2wLXDWvaivaBgvn,1641793,122,2018-03-22T14:30:21Z,2018-03-22T14:32:24Z,Crackdown,Human rights,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,10,90,"if I had a spare 100 I would have so many uses for it such as eating, paying bills, fixing my car- I would reluctantly give $10 but for me its all about what I can spare and I can spare VERY little otherwise I would give more",Once every six months,No,Some of the time,"Independent, leaning liberal",Some college,Don't know,Blue,Male,,"$20,000 – $29,999",45 – 54,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,No BA,,"$20,000 – $29,999","Less than $50,000 – $59,999",At least 35 – 44,Not Female
R_2vZnVcHbKqPJwSL,4096267,104,2018-03-22T14:32:37Z,2018-03-22T14:34:22Z,Crackdown,Human rights,Government,Yes,"Green,Yellow",Neutral,Favorable,Favorable,Neither likely nor unlikely,0,100,i love donating,Once a month,Yes,Some of the time,Independent,4 year degree,Once a week,Blue,Male,,"$70,000 – $79,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Not favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Independent,Not liberal,BA and above,At least once a month,"$70,000 – $79,999","At least $50,000 – $59,999",Less than 35 – 44,Not Female
R_2ZOJewPClYiMzcB,5313976,196,2018-03-22T14:32:08Z,2018-03-22T14:35:25Z,No crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Favorable,Favorable,Very favorable,Somewhat likely,99,1,it is for a good course.,Once a month,Yes,Some of the time,Liberal,4 year degree,Once a week,Blue,Female,,"$40,000 – $49,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Liberal,Liberal,BA and above,At least once a month,"$40,000 – $49,999","Less than $50,000 – $59,999",Less than 35 – 44,Female
R_RUMn7yzOc6psJUJ,9561206,64,2018-03-22T14:44:15Z,2018-03-22T14:45:19Z,No crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Neutral,Very favorable,Neutral,Somewhat likely,36,64,good,Once every six months,Yes,Some of the time,Liberal,4 year degree,Seldom,Blue,Male,,"$40,000 – $49,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Not favorable,Favorable,Not favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,"$40,000 – $49,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_3DqqOAFPJHLiWwB,9854349,500,2018-03-22T14:54:53Z,2018-03-22T15:03:14Z,Crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat likely,10,90,I would really need the money so I would keep most of it to myself but I would also want to help with at least some of the money since it seems like a good cause.,Once every few years,No,Hardly at all,Strong liberal,High school graduate,Never,Blue,Female,,"Less than $10,000",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Rarely,Rarely,Not often,Liberal,Liberal,No BA,Rarely,"Less than $10,000","Less than $50,000 – $59,999",Less than 35 – 44,Female
R_2CWIauopi2MaC21,2421434,101,2018-03-22T15:03:52Z,2018-03-22T15:05:34Z,Crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,2,98,I want most of it for myself but it sounds like they do some good things so I'll donate a couple dollars.,Once every three months,No,Some of the time,Liberal,Some college,Never,Blue,Female,,"$30,000 – $39,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,No BA,Rarely,"$30,000 – $39,999","Less than $50,000 – $59,999",Less than 35 – 44,Female
R_1isdq1Sjyg13m4J,3669327,114,2018-03-22T15:18:26Z,2018-03-22T15:20:20Z,No crackdown,Human rights,Government,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Neither likely nor unlikely,20,80,"I could use the extra money, but donating would be a good thing to do and make me feel good.",Once a month,No,Only now and then,Very conservative,4 year degree,Once a week,Blue,Female,,"Less than $10,000",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Not often,Conservative,Not liberal,BA and above,At least once a month,"Less than $10,000","Less than $50,000 – $59,999",Less than 35 – 44,Female
R_2YYrbyD9Z1IxEbl,4993163,99,2018-03-22T15:31:52Z,2018-03-22T15:33:31Z,Crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,5,95,"I don't have a lot of discretionary income so I have to limit my donations, but giving a small percentage to an organization like this would be worth it.",Once every six months,No,Most of the time,Liberal,4 year degree,Seldom,Blue,Male,,"$100,000 – $149,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,"$100,000 – $149,999","At least $50,000 – $59,999",Less than 35 – 44,Not Female
R_1pEdUgEL9VUu1xO,2348420,80,2018-03-22T15:32:25Z,2018-03-22T15:33:46Z,No crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Favorable,Neutral,Favorable,Somewhat unlikely,4,96,Because I'm poor myself.,Never,No,Some of the time,Liberal,Some college,A few times a year,Blue,Male,,"Less than $10,000",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Not favorable,Favorable,Rarely,Rarely,Often,Liberal,Liberal,No BA,Rarely,"Less than $10,000","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_3HAm3oK6dDAYEfo,9365340,122,2018-03-22T15:31:51Z,2018-03-22T15:33:54Z,Crackdown,Human rights,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,10,90,I believe it is important to donate to charitable causes but I have my own bills to pay so I need to be wise about my contributions to various groups.,Once a month,Yes,Most of the time,"Independent, leaning liberal",4 year degree,Once a week,Blue,Male,,"$90,000 – $99,999",45 – 54,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Liberal,Liberal,BA and above,At least once a month,"$90,000 – $99,999","At least $50,000 – $59,999",At least 35 – 44,Not Female
R_d4iHrYEiBhyShHz,3015263,80,2018-03-22T15:32:35Z,2018-03-22T15:33:55Z,No crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Favorable,Somewhat likely,50,50,I still need to pay bills.,Once every six months,No,Most of the time,Liberal,4 year degree,Never,Blue,Female,,Prefer not to say,25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,BA and above,Rarely,,,Less than 35 – 44,Female
R_1mVER1xvEgSUT8C,8982652,104,2018-03-22T15:32:19Z,2018-03-22T15:34:03Z,Crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Somewhat unlikely,0,100,"Because to me it sounds like this is a charity that helps people in other countries... If I'm going to make a donation to a charity, it's going to be one that actually helps people in my own home country,",Once every six months,No,Some of the time,Conservative,4 year degree,Never,Blue,Male,,"$30,000 – $39,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Conservative,Not liberal,BA and above,Rarely,"$30,000 – $39,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_3em33DrlPZH4o65,9039343,165,2018-03-22T15:32:01Z,2018-03-22T15:34:47Z,Crackdown,Human rights,Government,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat unlikely,0,100,"I don't necessarily like the fact that most of their funding comes from government sources, which means it comes from tax dollars, as opposed to people donating of their own free will.  I feel that people are entitled to give to charity as a choice and not by being taxed by their government.",Once a week,No,Some of the time,Very conservative,4 year degree,Once a week,Blue,Male,,"$70,000 – $79,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Conservative,Not liberal,BA and above,At least once a month,"$70,000 – $79,999","At least $50,000 – $59,999",Less than 35 – 44,Not Female
R_2wn43LMaFifEA43,8193905,147,2018-03-22T15:33:18Z,2018-03-22T15:35:45Z,No crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Neither likely nor unlikely,0,100,"I need the money at the moment. If I was in a better financial situation, I would consider donating a portion.",Once every six months,No,Most of the time,"Independent, leaning liberal",Some college,Never,Blue,Male,,"$60,000 – $69,999",25 – 34,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,No BA,Rarely,"$60,000 – $69,999","At least $50,000 – $59,999",Less than 35 – 44,Not Female
R_wKKN6KxHqKrj1Bf,6090634,103,2018-03-22T15:34:07Z,2018-03-22T15:35:51Z,Crackdown,Humanitarian assistance,Government,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Somewhat likely,0,100,I'm struggling to survive.,Once a year,Yes,Some of the time,"Independent, leaning liberal",Some college,Never,Blue,Male,,"$20,000 – $29,999",25 – 34,TRUE,TRUE,Correct,Correct,Likely,Favorable,Favorable,Favorable,Once a month-once a year,At least once a year,Often,Liberal,Liberal,No BA,Rarely,"$20,000 – $29,999","Less than $50,000 – $59,999",Less than 35 – 44,Not Female
R_Ug17NhZkL8IslCV,6582003,215,2018-03-22T15:32:43Z,2018-03-22T15:36:18Z,No crackdown,Human rights,Private,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Neither likely nor unlikely,5,95,"I want to help refugees but I'm not sure how the organization uses the donations, so I don't want to give too much until I'm sure my money would be used wisely and effectively",Once every few years,No,Most of the time,Liberal,Graduate or professional degree,Never,Blue,Male,,"$40,000 – $49,999",45 – 54,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,Rarely,Rarely,Often,Liberal,Liberal,BA and above,Rarely,"$40,000 – $49,999","Less than $50,000 – $59,999",At least 35 – 44,Not Female
R_0Apa2wZvYrYobkZ,1228924,228,2018-03-22T15:32:35Z,2018-03-22T15:36:24Z,No crackdown,Human rights,Government,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Neither likely nor unlikely,18,82,I'm unfamiliar with the specific programs the agency performs and would have to do more research.,Once a month,Yes,Some of the time,Independent,Some college,A few times a year,Blue,Female,,"$20,000 – $29,999",35 – 44,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Independent,Not liberal,No BA,Rarely,"$20,000 – $29,999","Less than $50,000 – $59,999",At least 35 – 44,Female
R_3IbDj8KrbzA4CIx,9813064,159,2018-03-22T15:34:13Z,2018-03-22T15:36:52Z,No crackdown,Humanitarian assistance,Private,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat unlikely,0,100,I have a problem with helping refugees who are not legally coming to the USA and also due to the high rates of terrorists from other countries,Once a week,Yes,Most of the time,Very conservative,2 year degree,Once a week,Blue,Female,,"$20,000 – $29,999",55 – 64,TRUE,TRUE,Correct,Correct,Not likely,Favorable,Favorable,Favorable,At least once a month,At least once a year,Often,Conservative,Not liberal,No BA,At least once a month,"$20,000 – $29,999","Less than $50,000 – $59,999",At least 35 – 44,Female
