StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.2,Q1.3,Q2.1_1,Q2.1_2,Q2.1_3,Q2.3,Q2.4_1,Q2.4_2,Q2.5,Q3.2,Q3.3,Q3.4,Q3.5,Q3.6,Q3.7,Q3.8,Q3.9,Q3.9_4_TEXT,Q3.10,Q3.11,mTurkCode,crackdown,issue,funding
2018-03-22 12:39:41,2018-03-22 12:41:04,IP Address,71.227.121.46,100,82,True,2018-03-22 12:41:05,R_1ezVCcFbfdLfmUi,,,,,42.206100463867,-83.622802734375,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,10,90,"I am pretty poor so I need to keep some for myself, but I also want to help out",Once every six months,Yes,Most of the time,Liberal,2 year degree,Never,Blue,Female,,"$20,000 – $29,999",25 – 34,9086579,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 12:38:50,2018-03-22 12:41:57,IP Address,71.78.30.155,100,186,True,2018-03-22 12:41:57,R_3dFk5QflVu5wGJa,,,,,32.891799926758,-97.146697998047,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,5,95,I think it would be a good amount to give from the money I have available.,Once a month,No,Some of the time,"Independent, leaning liberal",4 year degree,Once a week,Blue,Male,,"More than $150,000",18 – 24,737234,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 12:39:55,2018-03-22 12:42:20,IP Address,207.189.9.245,100,144,True,2018-03-22 12:42:21,R_SPJMPZXNwpipV7j,,,,,32.782501220703,-96.820701599121,anonymous,EN,Yes,"Green,Yellow",Neutral,Neutral,Neutral,Neither likely nor unlikely,69,31,to help with their cause,Once a week,Yes,Only now and then,Strong liberal,2 year degree,A few times a year,Blue,Female,,"$30,000 – $39,999",25 – 34,48507,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 12:40:42,2018-03-22 12:42:22,IP Address,68.61.218.97,100,100,True,2018-03-22 12:42:23,R_tYd9Qr81RIe48OB,,,,,42.554595947266,-82.917098999023,anonymous,EN,Yes,"Green,Yellow",Neutral,Favorable,Neutral,Somewhat unlikely,0,100,"My dad always told me to give until it hurts, and right now I am hurting financially.",Once a year,No,Only now and then,Independent,Some college,Never,Blue,Female,,"$30,000 – $39,999",25 – 34,7133502,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 12:43:43,2018-03-22 12:44:56,IP Address,67.175.243.58,100,72,True,2018-03-22 12:44:56,R_1rlwtYHkl3GlEgc,,,,,41.920593261719,-87.701698303223,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Neither likely nor unlikely,0,100,I would rather keep the money for myself and find a charity that I know more about.,Once every six months,No,Some of the time,Independent,4 year degree,Seldom,Blue,Male,,"$60,000 – $69,999",35 – 44,7027757,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 12:42:37,2018-03-22 12:46:14,IP Address,98.242.255.44,100,216,True,2018-03-22 12:46:14,R_1M0Pke1okOWke7S,,,,,25.982498168945,-80.343399047852,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Extremely unlikely,0,100,I want the most for myself.,Never,No,Some of the time,Independent,2 year degree,Never,Blue,Male,,"$90,000 – $99,999",25 – 34,2159867,.,human rights for refugees,government donors
2018-03-22 12:45:27,2018-03-22 12:46:50,IP Address,174.101.124.142,100,83,True,2018-03-22 12:46:51,R_Djx9YSHPkV0Nv0d,,,,,39.33349609375,-83.016799926758,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Neither likely nor unlikely,5,95,Can afford to give a little,Never,No,Some of the time,Liberal,High school graduate,Never,Blue,Male,,"$10,000 – $19,999",25 – 34,7425544,.,humanitarian assistance for refugees,government donors
2018-03-22 12:47:17,2018-03-22 12:48:08,IP Address,76.245.15.246,100,51,True,2018-03-22 12:48:09,R_1CjZsMMT6em1ylS,,,,,42.052505493164,-87.890602111816,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely unlikely,0,100,Because I would then have 100$ more dollars.,Never,No,Most of the time,Strong liberal,4 year degree,Never,Blue,Male,,"$40,000 – $49,999",18 – 24,8860706,.,humanitarian assistance for refugees,government donors
2018-03-22 12:51:24,2018-03-22 12:54:13,IP Address,207.246.122.225,100,168,True,2018-03-22 12:54:13,R_2xLXX6pdjCTeM4s,,,,,40.551605224609,-74.46369934082,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely unlikely,0,100,"I'm a broke boi. If anyone need humanitarian aid, it's me.",Never,No,Some of the time,Independent,4 year degree,Never,Blue,Male,,"$40,000 – $49,999",18 – 24,4005408,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 13:12:23,2018-03-22 13:14:10,IP Address,172.116.252.71,100,107,True,2018-03-22 13:14:11,R_T1HTMkdDN4PlHVv,,,,,34.070999145508,-117.70100402832,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat likely,10,90,"I'm in a position where I would need the extra money, but I also wouldn't mind donating a relatively small percentage to this charity.",Once every six months,Yes,Most of the time,Liberal,Some college,Seldom,Blue,Male,,"$40,000 – $49,999",25 – 34,3000594,.,human rights for refugees,government donors
2018-03-22 13:45:24,2018-03-22 13:47:29,IP Address,76.4.167.6,100,124,True,2018-03-22 13:47:30,R_3HSSIaYoWmWLMce,,,,,38.759902954102,-94.261497497559,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat unlikely,90,10,I think it is a worthy cause and I think donating 90% of the amount is acceptable.,Once a week,Yes,Some of the time,Strong liberal,Some college,Never,Blue,Male,,"$40,000 – $49,999",25 – 34,3974544,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 13:45:40,2018-03-22 13:50:29,IP Address,73.121.17.57,100,289,True,2018-03-22 13:50:30,R_8HUkhgzrxjQAQNP,,,,,36.103302001953,-84.206199645996,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,50,50,I feel splitting it 50/50 would be a fair deal. I get to help make a difference for a good cause while having a little extra money for myself.,Once every three months,No,Most of the time,Strong liberal,4 year degree,Never,Blue,Male,,"$50,000 – $59,999",35 – 44,7920246,.,human rights for refugees,"individual, private donors"
2018-03-22 13:45:26,2018-03-22 13:50:45,IP Address,67.245.216.203,100,318,True,2018-03-22 13:50:45,R_26amOmxnwV0m4Zo,,,,,41.584396362305,-74.516296386719,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Extremely likely,20,80,"I feel that my contribution is enough. I would gladly donate again to this organization ",Once every three months,No,Most of the time,Strong liberal,High school graduate,Never,Blue,Male,,"$70,000 – $79,999",35 – 44,6302311,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 13:52:08,2018-03-22 13:53:27,IP Address,12.236.238.7,100,79,True,2018-03-22 13:53:28,R_2fxIUfeVF5u93nT,,,,,25.982894897461,-80.279403686523,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Favorable,Somewhat likely,9,91,give a little,Once every few years,No,Some of the time,"Independent, leaning liberal",4 year degree,Never,Blue,Female,,Prefer not to say,25 – 34,6718963,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 13:52:58,2018-03-22 13:54:37,IP Address,47.196.99.191,100,98,True,2018-03-22 13:54:37,R_1o2aoPk2StiLaYQ,,,,,27.958694458008,-82.294998168945,anonymous,EN,Yes,"Green,Yellow",Favorable,Very favorable,Neutral,Somewhat likely,1,99,I like money,Once a month,No,Some of the time,Liberal,High school graduate,Never,Blue,Male,,"$20,000 – $29,999",25 – 34,8481223,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 13:45:32,2018-03-22 13:56:14,IP Address,174.222.15.12,100,642,True,2018-03-22 13:56:15,R_3PMMzTWbzgsngtN,,,,,38.441192626953,-121.30639648438,anonymous,EN,Yes,"Green,Yellow",Favorable,Neutral,Neutral,Somewhat unlikely,0,100,I do not really know what they will do with the money.,Once a month,Yes,Most of the time,"Independent, leaning conservative",4 year degree,Never,Blue,Female,,"$20,000 – $29,999",25 – 34,5421868,.,human rights for refugees,"individual, private donors"
2018-03-22 13:59:46,2018-03-22 14:03:03,IP Address,66.214.10.101,100,197,True,2018-03-22 14:03:04,R_rroTNkIaprME9vr,,,,,33.793395996094,-118.12120056152,anonymous,EN,Yes,"Green,Yellow",Unfavorable,Favorable,Neutral,Somewhat likely,29,71,I need the money to pay my bills. But I'm still willing to give what I can afford to help others maintain or gain human rights.,Once every six months,No,Only now and then,"Independent, leaning liberal",Some college,Never,Blue,Female,,"$50,000 – $59,999",25 – 34,3436587,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 14:03:15,2018-03-22 14:05:17,IP Address,50.24.98.165,100,122,True,2018-03-22 14:05:18,R_22o7Ob8QgA5tVhM,,,,,30.613098144531,-96.321701049805,anonymous,EN,Yes,"Green,Yellow",Favorable,Very favorable,Very favorable,Extremely unlikely,0,100,I need money.,Never,No,Most of the time,Strong liberal,4 year degree,Don't know,Blue,Male,,"$40,000 – $49,999",25 – 34,9038764,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 13:59:12,2018-03-22 14:11:27,IP Address,50.127.198.110,100,735,True,2018-03-22 14:11:27,R_3Gy6WCjTlCsZSmu,,,,,39.522506713867,-82.416999816895,anonymous,EN,Yes,"Green,Yellow",Favorable,Very favorable,Neutral,Extremely unlikely,0,100,"I would keep all $100 because it would not even go to helping humanitarian efforts due to the new laws. ",Never,Yes,Most of the time,Liberal,4 year degree,Never,Blue,Male,,"$30,000 – $39,999",35 – 44,8995923,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 14:16:58,2018-03-22 14:18:33,IP Address,98.246.169.180,100,94,True,2018-03-22 14:18:33,R_3m9IyGXNYdPrZnP,,,,,45.671295166016,-122.66040039062,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Extremely unlikely,0,100,Because I want more money for myself,Never,No,Only now and then,"Independent, leaning liberal",2 year degree,Never,Blue,Male,,"$40,000 – $49,999",25 – 34,2870372,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
2018-03-22 14:16:34,2018-03-22 14:18:48,IP Address,173.27.232.167,100,134,True,2018-03-22 14:18:48,R_3GCib7oJemc3oGW,,,,,41.546798706055,-93.620903015137,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Extremely unlikely,0,100,There are many reputable charities-- this one is apparently associated with Mitt Romney and I wouldn't trust it.,Once every three months,No,Most of the time,Strong liberal,Graduate or professional degree,Never,Blue,Female,,"$100,000 – $149,999",25 – 34,5095891,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 14:16:25,2018-03-22 14:19:02,IP Address,75.168.9.160,100,157,True,2018-03-22 14:19:03,R_3EDSjelDwatxrW5,,,,,44.941497802734,-93.010597229004,anonymous,EN,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Somewhat unlikely,5,95,This sounds like an NGO that is largely funded by the government. I don't think that they rely on private donations.,Once every six months,No,Most of the time,Independent,2 year degree,Never,Blue,Male,,"$30,000 – $39,999",35 – 44,5757235,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 14:16:44,2018-03-22 14:19:24,IP Address,96.32.75.231,100,159,True,2018-03-22 14:19:25,R_2dQQfiehzi8hBOn,,,,,34.009094238281,-84.008796691895,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,10,90,"I would donate $10 out of the $100 because I already donate yearly to other charities and funds so I can't help everyone. But, the $10 is enough to help, I think.",Once a year,Yes,Most of the time,Liberal,4 year degree,Never,Blue,Male,,"$60,000 – $69,999",25 – 34,9252747,.,human rights for refugees,"individual, private donors"
2018-03-22 14:17:44,2018-03-22 14:20:09,IP Address,97.97.21.29,100,144,True,2018-03-22 14:20:09,R_aWcBWaLGOAxgGhb,,,,,28.08219909668,-82.523902893066,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,50,50,I think it helps both the cause and myself,Once every six months,Yes,Some of the time,Independent,2 year degree,Once or twice a month,Blue,Female,,"$20,000 – $29,999",25 – 34,8023277,.,humanitarian assistance for refugees,government donors
2018-03-22 14:16:21,2018-03-22 14:21:24,IP Address,72.228.42.128,100,302,True,2018-03-22 14:21:25,R_10YhqG1v4UXG3pE,,,,,43.005599975586,-73.862800598145,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Favorable,Somewhat unlikely,0,100,"Right now I wouldn't donate anything because they seem to have a lot of money coming from government donors, so they probably don't need a lot of money from me and it makes me suspicious as to how effective it actually is. ",Once every six months,Yes,Most of the time,Strong liberal,4 year degree,Seldom,Blue,Female,,Prefer not to say,25 – 34,4486450,.,humanitarian assistance for refugees,government donors
2018-03-22 14:19:47,2018-03-22 14:22:26,IP Address,64.15.188.162,100,158,True,2018-03-22 14:22:26,R_yVCWM8Y1MmvnyAF,,,,,37.77490234375,-122.41940307617,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat unlikely,0,100,I have other causes that I would rather spend my extra money on. It's a good cause but there are others more dear to my heart.,Once a month,No,Some of the time,Independent,2 year degree,Never,Blue,Male,,"$70,000 – $79,999",35 – 44,1340132,.,human rights for refugees,government donors
2018-03-22 14:16:20,2018-03-22 14:23:23,IP Address,162.220.155.3,100,422,True,2018-03-22 14:23:23,R_2bQxwYW2fwqsdOx,,,,,42.10270690918,-88.893096923828,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Very favorable,Neither likely nor unlikely,0,100,I'd have to know more about them to donate.,Once every three months,No,Some of the time,"Independent, leaning liberal",Some college,Never,Blue,Male,,"$60,000 – $69,999",45 – 54,1222147,.,human rights for refugees,government donors
2018-03-22 14:20:49,2018-03-22 14:24:31,IP Address,72.80.116.19,100,221,True,2018-03-22 14:24:32,R_SNTJHYPyL0gEoz7,,,,,40.576705932617,-73.98999786377,anonymous,EN,Yes,"Green,Yellow",Very favorable,Favorable,Very favorable,Somewhat likely,25,75,I would need to do more research and know how The International Rescue Committee handles donor money before I'd be willing to contribute more to the cause.,Once a year,No,Some of the time,Liberal,4 year degree,Never,Blue,Male,,"$70,000 – $79,999",25 – 34,8240302,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 14:24:19,2018-03-22 14:26:05,IP Address,98.248.29.27,100,105,True,2018-03-22 14:26:05,R_21zypXJum3YzCM1,,,,,37.193099975586,-121.83639526367,anonymous,EN,Yes,"Green,Yellow",Favorable,Very favorable,Very favorable,Somewhat likely,73,27,It is a gut feeling,Once a month,Yes,Most of the time,Strong liberal,4 year degree,Never,Blue,Male,,"More than $150,000",35 – 44,7610216,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 14:21:15,2018-03-22 14:30:02,IP Address,72.218.214.239,100,527,True,2018-03-22 14:30:03,R_2BbxAmrxgAYl1yJ,,,,,36.835403442383,-76.298301696777,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Favorable,Somewhat likely,25,75,It's the realistic amount of what I would really donate if I have that money right now. This is the amount I am comfortable with. It could change if I feel more strongly about the cause in the future. For now I thought this is a good starting point.,Once a month,Yes,Some of the time,Liberal,4 year degree,Never,Blue,Male,,"$50,000 – $59,999",35 – 44,1056754,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 14:30:24,2018-03-22 14:31:31,IP Address,76.115.49.208,100,67,True,2018-03-22 14:31:32,R_1Cpw1Ay72fg7Vc3,,,,,45.577392578125,-122.62080383301,anonymous,EN,Yes,"Green,Yellow",Favorable,Very favorable,Favorable,Somewhat likely,10,90,I'm pretty poor but I'd want to help a little.,Once every six months,No,Most of the time,Strong liberal,4 year degree,Never,Blue,Female,,"$10,000 – $19,999",25 – 34,8011815,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 14:30:21,2018-03-22 14:32:24,IP Address,71.229.155.164,100,122,True,2018-03-22 14:32:25,R_2wLXDWvaivaBgvn,,,,,39.738800048828,-104.40830230713,anonymous,EN,Yes,"Green,Yellow",Very favorable,Very favorable,Very favorable,Somewhat likely,10,90,"if I had a spare 100 I would have so many uses for it such as eating, paying bills, fixing my car- I would reluctantly give $10 but for me its all about what I can spare and I can spare VERY little otherwise I would give more",Once every six months,No,Some of the time,"Independent, leaning liberal",Some college,Don't know,Blue,Male,,"$20,000 – $29,999",45 – 54,1641793,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,"individual, private donors"
2018-03-22 14:32:37,2018-03-22 14:34:22,IP Address,162.244.81.173,100,104,True,2018-03-22 14:34:23,R_2vZnVcHbKqPJwSL,,,,,44.433303833008,26.100006103516,anonymous,EN,Yes,"Green,Yellow",Neutral,Favorable,Favorable,Neither likely nor unlikely,0,100,"i love donating ",Once a month,Yes,Some of the time,Independent,4 year degree,Once a week,Blue,Male,,"$70,000 – $79,999",25 – 34,4096267,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,human rights for refugees,government donors
2018-03-22 14:32:08,2018-03-22 14:35:25,IP Address,38.95.109.107,100,196,True,2018-03-22 14:35:26,R_2ZOJewPClYiMzcB,,,,,34.052200317383,-118.24369812012,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Very favorable,Somewhat likely,99,1,it is for a good course.,Once a month,Yes,Some of the time,Liberal,4 year degree,Once a week,Blue,Female,,"$40,000 – $49,999",25 – 34,5313976,.,humanitarian assistance for refugees,"individual, private donors"
2018-03-22 14:44:15,2018-03-22 14:45:19,IP Address,103.77.19.76,100,64,True,2018-03-22 14:45:20,R_RUMn7yzOc6psJUJ,,,,,23.817901611328,90.410308837891,anonymous,EN,Yes,"Green,Yellow",Neutral,Very favorable,Neutral,Somewhat likely,36,64,good,Once every six months,Yes,Some of the time,Liberal,4 year degree,Seldom,Blue,Male,,"$40,000 – $49,999",25 – 34,9561206,.,humanitarian assistance for refugees,government donors
2018-03-22 14:54:53,2018-03-22 15:03:14,IP Address,173.239.240.112,100,500,True,2018-03-22 15:03:14,R_3DqqOAFPJHLiWwB,,,,,41.850006103516,-87.650001525879,anonymous,EN,Yes,"Green,Yellow",Favorable,Favorable,Favorable,Somewhat likely,10,90,"I would really need the money so I would keep most of it to myself but I would also want to help with at least some of the money since it seems like a good cause. ",Once every few years,No,Hardly at all,Strong liberal,High school graduate,Never,Blue,Female,,"Less than $10,000",25 – 34,9854349,&nbsp;and works in countries that have recently passed laws that harshly restrict nonprofit organizations.,humanitarian assistance for refugees,government donors
